label,tempo,time_signature,key,loudness
twee pop,90.908,3,9,-12.658
rock,151.953,4,4,-6.546
teen pop,161.054,4,0,-17.522
doom metal,159.895,5,8,-10.777
smooth jazz,128.219,4,9,-9.993
power pop,101.229,4,6,-12.99
latin pop,98.859,4,0,-8.339
techno,125.975,4,0,-6.531
gangster rap,154.09,4,1,-6.933
viking metal,124.237,4,9,-4.178
gangster rap,97.099,4,9,-8.91
rap metal,140.63,1,9,-2.069
chicago blues,101.41,1,0,-16.844
hardcore punk,186.254,4,4,-3.803
gabba,210.47,4,1,-10.57
rap metal,94.057,4,7,-6.694
requiem,100.349,1,4,-16.753
europop,124.009,4,7,-4.376
rock,90.084,1,9,-38.525
post-grunge,106.698,1,2,-1.843
alternative metal,89.78,4,2,-3.937
gabba,107.177,7,9,-16.006
irish folk,152.258,4,10,-19.794
dance rock,134.083,4,3,-7.614
soul jazz,106.398,3,5,-10.274
rap metal,160.022,3,10,-5.912
country blues,101.492,4,7,-7.108
instrumental pop,86.141,4,0,-15.578
funk metal,120.097,4,1,-9.334
soundtrack,128.173,4,7,-16.942
rap,88.835,4,8,-6.021
chicago soul,105.24,4,2,-13.135
chanson,162.385,1,7,-6.893
gabba,109.636,5,2,-9.506
british pop,108.264,4,10,-7.255
pop rock,119.524,4,9,-7.684
big beat,97.76,4,9,-12.385
roots reggae,241.877,4,10,-4.779
rock,91.328,4,7,-11.356
trip hop,130.062,4,8,-8.147
hard rock,68.734,4,11,-6.582
progressive house,94.658,3,2,-16.527
roots reggae,102.055,1,10,-10.173
classic country,109.065,1,2,-14.123
gabba,184.981,4,6,-5.483
hip hop,201.802,3,7,-7.307
hip hop,119.67,4,1,-12.75
orchestra,105.181,1,0,-10.328
honky tonk,165.668,3,9,-9.668
hip hop,188.056,3,1,-5.444
sympho black metal,143.97,4,3,-4.144
chill-out,61.883,1,6,-18.349
orchestra,0.0,1,7,-20.964
latin jazz,163.167,4,9,-11.877
post-grunge,144.836,3,9,-5.627
post-hardcore,108.499,4,2,-1.998
dance-punk,193.978,4,11,-7.901
grindcore,88.935,4,0,-8.798
gangster rap,91.69,4,4,-5.934
blues-rock,210.8,7,1,-10.7
british pop,82.205,4,4,-4.332
rockabilly,121.563,1,4,-15.672
twee pop,162.682,4,3,-15.54
hard bop,106.219,1,11,-14.621
chill-out,172.337,4,4,-11.428
broken beat,210.305,4,5,-11.273
miami bass,175.393,4,1,-9.745
vocal,128.459,5,0,-10.917
post-grunge,109.671,5,2,-21.787
brill building pop,141.024,4,5,-14.449
funky house,125.558,4,1,-7.535
flamenco,211.327,3,9,-10.918
ballet,147.637,4,11,-21.25
country rock,98.49,1,9,-12.77
brazilian pop music,137.673,7,10,-15.574
doo-wop,68.283,4,0,-9.79
j pop,0.0,1,2,-32.017
happy hardcore,134.014,4,1,-5.533
pop punk,85.157,4,5,-8.901
classic country,86.162,4,1,-15.915
jazz,93.106,4,11,-8.489
chanson,49.262,4,3,-13.366
hip hop,80.149,4,6,-5.947
bel canto,82.422,4,6,-13.826
blues-rock,107.197,3,7,-11.488
pop folk,124.177,4,9,-9.28
british pop,196.034,4,7,-7.928
early music,64.401,4,0,-14.367
musette,130.861,4,1,-7.598
downtempo,90.008,4,10,-2.939
irish folk,122.174,4,9,-8.632
chill-out,95.981,4,2,-14.544
argentine rock,75.955,5,0,-7.605
country rock,210.871,4,8,-13.256
cantonese pop,105.196,1,4,-7.225
hip hop,106.689,1,4,-8.422
teen pop,112.787,4,0,-5.12
cabaret,93.779,3,6,-23.996
instrumental pop,89.865,4,0,-8.041
pop rock,133.339,4,5,-10.957
screamo,98.718,4,0,-14.835
jazz fusion,74.072,1,5,-22.289
progressive house,130.006,4,8,-10.683
jazz funk,104.394,3,4,-18.703
cool jazz,159.587,1,4,-9.672
ccm,192.702,5,2,-10.754
country rock,98.11,4,3,-8.372
flamenco,118.595,4,7,-4.37
teen pop,143.601,1,2,-15.599
bhangra,81.319,3,4,-6.358
breakbeat,89.345,5,6,-7.884
breakbeat,174.993,4,4,-5.134
heartland rock,129.122,4,9,-4.954
symphonic rock,86.666,3,8,-26.358
latin jazz,231.867,4,8,-15.672
tech house,190.698,4,5,-21.593
blues-rock,97.538,4,9,-11.255
turnablism,95.225,3,6,-11.494
club,139.993,4,5,-7.427
latin jazz,159.233,1,7,-16.113
chanson,124.75,3,1,-9.843
instrumental rock,100.415,4,0,-17.492
ballad,105.003,4,9,-6.301
hip hop,110.218,4,7,-6.294
hip hop,88.973,4,10,-7.64
soundtrack,134.566,4,4,-18.341
nu metal,186.882,3,11,-22.752
rock,113.995,4,1,-4.169
blues-rock,90.199,1,4,-6.977
stoner metal,111.032,3,10,-14.041
vaudeville,124.184,1,0,-16.994
blues-rock,157.746,1,5,-12.0
screamo,100.032,4,6,-7.626
hip hop,185.88,4,1,-6.318
chill-out,94.031,5,0,-12.811
brill building pop,76.013,3,4,-9.448
chanson,133.553,4,1,-10.398
post-hardcore,202.233,4,2,-5.537
disco,133.405,5,7,-7.513
dark ambient,116.819,3,5,-17.16
cumbia,127.887,4,11,-9.788
doom metal,124.872,1,5,-4.053
british pop,136.948,4,0,-3.159
jazz fusion,169.878,4,0,-13.781
cabaret,100.621,1,7,-10.968
male vocalist,101.01,4,7,-6.996
honky tonk,157.779,4,11,-14.014
pop punk,91.483,4,2,-2.838
irish folk,99.109,4,10,-15.046
tango,76.296,3,9,-15.008
vocal jazz,92.672,4,7,-8.916
blues-rock,116.984,4,7,-6.908
ccm,139.07,4,5,-9.371
hard house,98.983,4,6,-5.234
dance rock,123.695,4,2,-2.704
technical death metal,97.151,4,0,-3.325
digital hardcore,91.459,4,2,-8.933
heavy metal,116.11,4,7,-8.548
trip hop,85.282,3,6,-18.397
blues-rock,140.872,4,9,-7.812
indie rock,144.003,4,0,-8.499
pop rap,120.001,4,9,-5.165
hip hop,168.558,4,8,-10.274
latin jazz,146.061,4,10,-12.708
gangster rap,174.019,4,4,-5.797
smooth jazz,85.691,3,2,-22.35
charanga,92.606,4,7,-7.113
jazz fusion,163.97,4,0,-7.467
tech house,97.619,3,2,-18.724
celtic punk,183.808,4,9,-5.386
power electronics,92.044,3,1,-4.583
disco,126.806,4,9,-5.893
slack key guitar,108.912,4,5,-17.805
melodic hardcore,160.731,4,6,-4.228
folk rock,104.307,3,7,-7.693
salsa,203.964,5,1,-6.622
r&b,131.683,4,10,-19.263
alternative metal,188.924,4,0,-2.315
free music,126.342,3,7,-8.299
space age pop,112.097,4,10,-12.752
jazz funk,125.147,4,0,-13.078
grime,87.634,4,6,-10.231
neo soul,128.689,4,0,-11.26
hip house,140.026,4,11,-3.573
lullaby,147.576,1,7,-25.146
dance rock,193.56,4,9,-12.091
hardcore punk,122.006,4,11,-8.576
dancehall,190.01,4,7,-6.832
tango,111.663,4,0,-13.481
power pop,100.76,4,2,-6.746
chinese music,163.67,4,2,-16.077
power pop,127.298,4,7,-10.324
latin jazz,95.633,1,9,-13.456
lovers rock,160.011,3,3,-12.084
rap,38.233,4,0,-19.461
pop folk,98.151,4,0,-6.608
vocal jazz,91.198,4,10,-7.758
california,75.467,5,4,-8.832
freakbeat,103.29,4,2,-7.458
free jazz,65.054,4,3,-14.952
rock steady,161.796,4,1,-12.102
ccm,115.258,1,6,-15.598
tango,230.992,4,0,-12.01
power metal,179.988,3,7,-4.507
zouk,90.008,4,2,-5.568
rap,95.816,4,1,-9.636
humppa,100.612,4,4,-9.559
post-hardcore,80.41,4,7,-4.621
death metal,150.086,4,6,-3.536
musette,191.929,4,3,-5.786
zouklove,173.936,4,5,-8.089
dance pop,117.984,4,6,-7.834
dubstep,153.551,4,8,-3.319
alternative metal,131.079,4,6,-4.806
funk,132.973,1,2,-10.895
chicago blues,97.03,3,0,-10.862
roots reggae,88.137,4,7,-9.513
classic rock,133.383,4,6,-7.301
pop rock,142.68,4,2,-3.637
miami bass,107.185,4,1,-7.041
instrumental rock,101.485,3,0,-11.927
surf music,90.636,4,11,-4.941
free jazz,61.487,5,8,-13.103
country blues,152.434,1,2,-13.134
country rock,121.232,4,0,-9.224
jump blues,105.268,3,5,-20.842
dance rock,95.655,4,0,-5.653
freestyle,229.913,3,2,-8.654
chill-out,75.127,1,1,-27.806
salsa,106.769,4,10,-6.206
vocal house,120.876,5,9,-14.979
new wave,123.657,4,7,-10.45
alternative dance,144.954,4,7,-4.179
power pop,147.661,4,11,-8.471
chicago blues,84.224,1,2,-14.688
rap,172.287,4,8,-6.816
hip hop,167.902,4,10,-6.609
world music,74.046,4,7,-14.217
alternative dance,100.15,1,2,-11.661
hardcore punk,85.771,4,0,-3.806
soundtrack,210.898,4,10,-23.685
post-grunge,140.259,4,5,-6.481
blues-rock,133.398,1,6,-18.863
blues,91.538,4,4,-9.131
southern rock,114.73,4,9,-7.714
tejano,106.438,1,9,-5.68
crunk,111.936,4,1,-6.825
soft rock,93.015,4,2,-7.499
new age,101.662,4,9,-10.225
mariachi,179.502,3,5,-7.711
hardcore punk,70.649,5,0,-18.91
charanga,85.878,5,0,-9.718
honky tonk,155.896,4,4,-8.942
country rock,163.567,4,5,-9.464
heavy metal,121.553,4,11,-3.47
chicago soul,81.586,5,1,-10.453
synthpop,150.066,4,5,-7.188
soul blues,105.927,3,2,-10.269
hard house,88.001,3,4,-4.969
meditation,27.163,1,8,-16.051
blue-eyed soul,113.058,1,2,-9.899
country blues,86.997,1,0,-22.825
europop,86.62,4,7,-3.235
pop rock,100.051,4,0,-5.959
tejano,205.333,4,10,-13.777
brazilian pop music,179.575,1,11,-13.774
chill-out,134.051,4,0,-7.114
viking metal,160.009,4,0,-7.249
salsa,87.976,7,5,-3.865
big beat,125.003,4,3,-6.503
pop rock,158.321,4,4,-13.462
pop,132.858,4,0,-9.846
polka,95.503,4,10,-6.014
gangster rap,96.007,4,6,-6.181
western swing,99.487,4,9,-14.816
black metal,200.169,3,9,-6.435
ccm,124.194,7,10,-20.284
future jazz,109.702,3,11,-15.148
disco,122.113,4,0,-11.97
pop folk,117.671,3,0,-9.996
orchestra,179.264,5,2,-17.611
glitch,103.936,1,5,-7.401
bel canto,107.536,3,4,-22.271
dance pop,115.066,1,4,-19.976
brazilian pop music,91.191,1,11,-8.734
new orleans blues,100.011,3,9,-12.552
grime,125.916,3,9,-9.903
world,85.311,1,0,-9.186
power pop,200.716,1,7,-7.315
tejano,182.168,4,7,-7.951
hip hop,138.048,4,6,-6.26
ccm,79.734,1,9,-26.626
hard trance,87.453,4,4,-3.951
blackened death metal,125.086,1,7,-5.766
industrial rock,135.072,4,4,-6.883
visual kei,93.425,7,8,-8.72
blues-rock,150.013,4,7,-5.208
orchestra,66.988,4,5,-11.549
kraut rock,80.315,5,0,-10.918
western swing,126.533,4,0,-10.85
pop rock,141.116,4,7,-10.881
jazz funk,152.194,3,0,-9.469
dark wave,115.033,4,8,-6.931
new age,178.725,1,9,-12.677
country rock,154.172,4,8,-10.586
piano blues,150.867,5,9,-12.389
chicago blues,94.554,3,0,-10.483
rumba,196.188,4,5,-4.314
ballad,101.621,5,7,-20.846
bossa nova,144.073,4,2,-9.393
industrial rock,90.027,4,2,-6.762
vocal jazz,67.745,4,0,-10.72
thrash core,210.982,1,0,-6.084
alternative rock,101.08,4,7,-5.66
neo soul,128.022,4,10,-16.113
jazz funk,92.98,1,5,-9.647
dirty south rap,126.938,4,4,-3.017
death core,80.484,4,0,-6.282
heavy metal,127.0,4,10,-5.703
twee pop,100.032,4,5,-7.743
roots reggae,124.788,4,0,-10.275
chill-out,143.291,1,8,-14.891
grunge,107.845,4,10,-3.91
brill building pop,90.18,3,5,-13.876
dancehall,100.342,4,9,-9.586
hip hop,137.534,3,11,-7.719
power pop,179.13,4,2,-14.934
alternative metal,104.984,4,8,-4.44
reggaeton,97.02,4,7,-6.876
sludge metal,176.066,3,10,-7.803
hip hop,185.094,4,10,-2.542
noise rock,86.571,1,10,-5.728
progressive trance,140.033,4,11,-8.135
salsa,197.458,4,7,-5.799
zydeco,102.731,4,10,-11.937
british pop,142.116,4,8,-6.033
speed metal,167.486,4,1,-3.028
cumbia,124.604,4,7,-13.992
power pop,117.329,4,2,-6.464
ccm,208.416,4,0,-8.226
chamber jazz,105.535,4,10,-15.624
chicago house,159.959,4,4,-7.461
shoegaze,88.02,1,9,-5.648
heavy metal,127.745,4,7,-7.199
uk garage,88.973,4,4,-3.584
dance pop,132.892,4,7,-5.963
blues,89.966,4,2,-10.548
neue deutsche welle,97.362,3,0,-7.381
doo-wop,120.712,3,3,-7.0
musette,63.007,1,0,-11.415
country rock,104.823,3,4,-16.357
ccm,157.869,4,8,-8.132
doo-wop,91.704,4,8,-9.56
pop punk,97.148,4,1,-4.714
death core,144.71,4,5,-16.263
bass music,150.056,4,1,-9.699
breakbeat,95.973,4,7,-4.141
folk-pop,151.5,4,7,-13.047
dancehall,79.823,5,1,-4.541
blues-rock,111.903,4,9,-6.311
ccm,135.955,4,10,-10.3
oi,141.334,1,6,-10.609
hard rock,86.665,4,5,-12.649
folk rock,70.331,1,7,-21.978
tech house,130.032,4,0,-10.976
underground rap,167.909,4,4,-6.022
brill building pop,117.454,4,7,-14.489
louisiana blues,86.199,4,10,-8.521
country rock,121.773,4,7,-15.546
glam metal,140.984,4,9,-8.952
art rock,143.679,1,7,-7.329
dance rock,126.14,4,1,-6.446
brazilian pop music,137.941,4,9,-10.844
bluegrass,146.894,1,1,-16.504
folk-pop,102.756,3,7,-10.086
new wave,147.679,1,4,-8.579
blues-rock,145.917,1,4,-7.74
new beat,131.968,4,9,-6.366
stoner rock,64.006,1,0,-4.683
dancehall,105.671,4,6,-9.01
island music,163.385,4,9,-19.157
avantgarde metal,94.888,3,7,-12.22
teen pop,135.914,4,9,-5.953
sludge metal,120.703,4,11,-7.31
los angeles,117.295,1,11,-8.224
jazz blues,94.105,3,3,-12.437
brazilian jazz,95.111,3,5,-24.83
new age,100.893,4,1,-23.15
oldies,113.082,4,0,-10.362
tech house,125.995,5,7,-8.525
roots reggae,145.949,4,5,-7.7
indie rock,152.461,4,0,-6.051
folk metal,140.13,4,5,-5.779
ccm,108.914,4,7,-11.236
post-grunge,113.326,4,10,-4.998
breakcore,89.927,4,0,-10.196
humppa,121.981,4,2,-8.521
gypsy jazz,90.177,4,2,-13.512
ccm,95.179,3,0,-20.193
shock rock,74.82,4,8,-12.298
hip hop,100.145,4,1,-10.203
parody,129.318,4,4,-5.492
new wave,105.29,4,4,-9.848
new wave,176.153,4,4,-7.736
jazz funk,84.064,3,2,-12.714
disco,112.071,4,9,-13.607
grindcore,108.917,1,10,-9.883
urban folk,126.105,4,9,-4.852
post-grunge,86.82,4,4,-5.981
classic female blues,99.076,1,4,-17.714
electro,129.984,4,1,-5.202
power pop,106.742,4,0,-12.743
trip hop,90.013,5,9,-5.644
brazilian jazz,127.782,4,4,-29.75
gangster rap,101.167,1,9,-5.724
gabba,174.57,4,1,-9.249
flamenco,150.955,4,0,-10.764
jazz funk,121.201,4,0,-9.479
ragtime,160.981,4,10,-15.279
new beat,173.841,3,2,-10.653
hip hop,93.056,4,1,-9.035
art rock,127.547,1,4,-20.816
chamber jazz,130.316,5,9,-18.245
black metal,90.66,3,2,-20.359
alternative metal,173.205,5,5,-3.306
opera,127.113,1,7,-23.095
post-grunge,116.005,4,10,-18.152
honky tonk,90.61,4,7,-13.12
pop folk,124.025,4,6,-6.097
roots reggae,146.445,4,7,-9.99
country blues,136.915,1,8,-14.876
folk,135.407,4,9,-9.221
bluegrass,169.235,4,7,-6.589
gangster rap,91.981,4,0,-8.983
suomi rock,130.756,1,9,-8.189
gospel,120.977,5,2,-2.001
british pop,150.848,3,0,-9.148
motown,118.052,4,6,-7.232
irish folk,60.11,1,0,-18.263
vaudeville,138.25,4,5,-15.01
chill-out,67.405,1,9,-21.835
zydeco,172.716,1,7,-7.071
hip hop,106.769,4,10,-7.974
rock,76.499,5,2,-36.835
chill-out,35.931,4,10,-23.874
rumba,167.954,1,0,-4.134
country rock,135.087,4,4,-11.828
country rock,80.738,3,2,-14.28
stoner metal,85.316,5,0,-6.076
lovers rock,162.876,4,5,-7.397
opera,88.761,1,1,-17.91
rock,116.621,1,0,-11.766
hardcore punk,123.635,4,4,-6.664
hardcore punk,126.4,4,6,-2.844
western swing,89.201,4,5,-11.473
musette,73.136,1,5,-7.434
ccm,72.001,5,6,-30.293
chanson,140.173,4,0,-9.911
cumbia,135.982,4,6,-7.769
rap,88.043,4,11,-1.622
alternative metal,85.029,4,6,-3.753
soundtrack,138.508,1,2,-17.941
bhangra,106.438,4,1,-12.597
twee pop,114.011,4,9,-9.042
hard trance,137.951,4,9,-3.854
western swing,121.815,4,5,-16.884
pop folk,92.68,1,0,-3.826
slack key guitar,83.065,1,11,-22.196
folk rock,225.669,1,0,-3.959
dance pop,94.777,4,11,-8.726
jug band,96.212,1,0,-13.873
ccm,117.985,4,11,-6.748
turnablism,165.546,3,11,-8.225
charanga,95.243,4,9,-8.612
electronic,64.811,4,0,-9.074
latin jazz,102.95,5,5,-14.493
western swing,95.655,1,7,-15.653
screamo,133.925,4,4,-8.57
blues-rock,81.111,3,10,-9.492
8-bit,136.95,3,11,-12.371
texas blues,162.855,4,8,-11.124
stoner metal,144.803,4,4,-9.105
ccm,122.403,4,9,-7.005
northern soul,78.453,3,5,-12.839
world beat,118.713,4,11,-15.777
future jazz,81.38,4,1,-12.586
breakcore,141.836,4,0,-4.379
dub,100.295,4,9,-10.56
gangster rap,81.901,4,4,-7.837
chanson,77.5,5,0,-14.711
country rock,201.951,4,9,-4.994
california,101.455,1,9,-16.724
post-grunge,157.909,4,6,-5.025
speedcore,159.702,1,5,-9.191
honky tonk,118.041,4,4,-7.087
progressive house,123.007,4,1,-12.161
doom metal,119.428,4,9,-9.033
religious music,89.995,5,5,-11.459
dark wave,180.129,3,0,-8.506
western swing,74.809,4,2,-11.663
blues-rock,100.081,4,7,-11.105
dance pop,152.214,3,4,-6.774
chanson,107.087,4,0,-13.637
blues,90.282,3,5,-9.517
dancehall,183.827,4,5,-9.693
afrobeat,140.316,4,7,-9.381
rockabilly,102.165,4,2,-2.999
chinese music,151.882,4,8,-11.484
black metal,110.994,4,10,-4.442
irish folk,201.651,1,2,-11.404
progressive house,127.992,4,6,-7.634
singer-songwriter,79.226,4,5,-11.255
pop rock,109.051,4,7,-12.436
gabba,101.742,4,11,-5.945
ccm,101.988,4,10,-12.935
honky tonk,106.941,3,2,-15.995
dancehall,195.976,5,1,-8.41
techno,127.923,4,11,-12.593
honky tonk,105.202,4,9,-13.592
blues-rock,145.689,5,7,-6.186
honky tonk,98.117,1,5,-11.851
latin jazz,165.263,4,0,-16.05
free improvisation,128.135,4,2,-37.065
stand-up comedy,186.13,4,8,-15.755
alternative metal,100.604,4,4,-3.973
experimental rock,35.898,4,6,-18.169
ska punk,159.723,4,2,-4.188
power metal,200.061,4,9,-2.599
blue-eyed soul,133.391,4,2,-8.733
blues-rock,166.238,1,8,-4.62
samba,105.813,4,4,-18.713
smooth jazz,97.959,4,9,-9.449
country gospel,111.465,4,5,-8.665
british pop,160.409,7,1,-31.412
rap rock,76.986,3,4,-1.479
polka,194.156,4,9,-13.763
delta blues,107.877,1,10,-15.164
dream pop,118.043,4,11,-5.298
brutal death metal,131.938,4,0,-5.737
irish folk,92.29,3,2,-21.412
smooth jazz,77.929,5,3,-16.215
ccm,102.328,4,8,-13.792
irish,79.09,3,10,-5.849
soundtrack,77.306,5,1,-18.719
heartland rock,168.946,4,7,-8.962
lovers rock,153.738,4,6,-8.754
ranchera,100.048,4,2,-8.596
soukous,120.411,7,9,-8.09
blues,90.666,4,6,-8.405
charanga,116.949,5,0,-9.139
